,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,2020-05-04 00:00:00,66140.0,2110163.0,32.1,32.1,31.6,31.9,-0.5,61.0
1,2020-05-05 00:00:00,82883.0,2661790.0,32.1,32.15,31.95,32.15,0.25,61.0
2,2020-05-06 00:00:00,52221.0,1670493.0,32.15,32.15,31.9,32.05,-0.1,41.0
3,2020-05-07 00:00:00,98892.0,3172799.0,31.95,32.5,31.85,32.5,0.45,78.0
4,2020-05-08 00:00:00,76941.0,2484002.0,32.4,32.4,32.2,32.25,-0.25,62.0
5,2020-05-11 00:00:00,109368.0,3514708.0,32.2,32.2,31.95,32.1,-0.15,80.0
6,2020-05-12 00:00:00,90772.0,2879543.0,32.1,32.1,31.0,31.9,-0.2,76.0
7,2020-05-13 00:00:00,40648.0,1294636.0,31.9,31.9,31.65,31.9,0.0,33.0
8,2020-05-14 00:00:00,73926.0,2346351.0,31.85,31.85,31.7,31.75,-0.15,58.0
9,2020-05-15 00:00:00,29063.0,923800.0,31.75,31.9,31.7,31.9,0.15,30.0
10,2020-05-18 00:00:00,27316.0,870246.0,32.1,32.1,31.8,31.8,-0.1,26.0
11,2020-05-19 00:00:00,46503.0,1483342.0,31.95,32.05,31.85,32.05,0.25,36.0
12,2020-05-20 00:00:00,63100.0,2017614.0,32.05,32.15,31.85,31.85,-0.2,48.0
13,2020-05-21 00:00:00,20735.0,664720.0,32.0,32.2,32.0,32.2,0.35,27.0
14,2020-05-22 00:00:00,74200.0,2362659.0,32.1,32.1,31.75,31.75,-0.45,57.0
15,2020-05-25 00:00:00,42230.0,1350243.0,31.85,32.15,31.8,32.0,0.25,39.0
16,2020-05-26 00:00:00,65252.0,2103814.0,32.15,32.35,32.1,32.25,0.25,51.0
17,2020-05-27 00:00:00,23218.0,745926.0,32.05,32.3,32.0,32.2,-0.05,36.0
18,2020-05-28 00:00:00,76863.0,2467991.0,32.1,32.3,31.85,32.0,-0.2,59.0
19,2020-05-29 00:00:00,10773.0,345357.0,32.05,32.15,32.0,32.05,0.05,16.0
